kicid,num_peaks,peak_id,accept_bic,accept_time,channel,skygroup,module,output,quarter,season,chunk,t0,s2n,bkg,depth,depth_ivar,transit_ror,transit_duration,transit_time,chunk_min_time,chunk_max_time,centroid_offset,centroid_offset_err,lnlike_gp,lnlike_outlier,lnlike_box1,lnlike_box2,lnlike_step,lnlike_transit,bic_gp,bic_outlier,bic_box1,bic_box2,bic_step,bic_transit
6551440,1,0,True,True,14,74,6,2,11,1,44,1039.0638884112957,18.096212254112913,0.7237115740896638,0.0006260207668032016,835939015.0190984,0.030905156483519117,0.44489006257144775,1039.0592576366653,1033.0638884112923,1047.6119394895068,0.0001410494817964086,2.2006301581923672e-05,3524.135038177249,3531.1090681939086,3568.5630738367718,3526.040670174057,3556.1154106930317,3596.4822632756204,3511.705821980405,3515.5725479478533,3549.919249541505,3507.3968458787904,3525.0423702009207,3571.6238308819316
6751029,1,0,True,True,83,31,24,3,3,1,10,306.875024638816,757.0267902017771,1.0808189176372518,0.046310894830288725,267212119.99319223,0.2950686905918208,0.37878527599830436,306.7654248773174,301.21229897491867,312.53204429743346,0.0035649222484171288,5.630489178243513e-05,2588.4141403258645,2588.7888327216206,2598.5873095875245,2592.0989452670387,-2909.262712309127,3128.1937154090965,2575.9849241290203,2573.2523124755653,2579.9434852922577,2573.455120971772,-2940.335752801238,3103.3352830154076
3230491,1,0,True,True,53,81,16,1,3,1,10,315.27566243924747,40.44373931691885,0.7381934535647773,0.0025791017020526928,245940856.86949742,0.07629609557695588,0.29518301104885974,315.32959633867097,309.7332262298296,320.8281113386183,0.000774704023243963,1.9071737082258253e-05,3097.843678698624,3100.375967275796,2998.248153538212,3132.926242634479,3197.8948549527536,3291.546591990197,3085.41446250178,3084.8394470297408,2979.6043292429454,3114.282418339212,3166.8218144606426,3266.6881595965083
6342758,1,0,True,True,36,52,11,4,6,0,19,554.020874068958,52.67855141018076,2.0636971429176185,0.0033395013506601306,248830952.77446637,0.0813937972422646,0.39380702801236245,553.8964724020274,548.4618105298287,559.5982386398973,0.0001394121493437518,0.00019055810662361802,3068.5329952664156,3070.697362283925,2940.1988548798226,3020.19680114201,3076.864374148368,3232.7770306012767,3056.1037790695714,3055.1608420378698,2921.555030584556,3001.552976846743,3045.791333656257,3207.918598207588
4754460,2,0,True,False,49,77,15,1,17,3,64,1587.1325911656356,60.99880665446948,2.206518988136168,0.012708598193211964,320547302.4151231,0.15937464725364447,0.8167110283855421,1586.8325911656357,1586.8325911656357,1591.0012411227872,0.0018471216374436187,0.0002730506231047834,1208.2780277896281,1209.7813972306424,1209.7617551714486,1211.8689732041996,1215.2847542996844,1248.2031370718203,1197.6914181401792,1196.548135168831,1193.881840697275,1195.989058730026,1188.818230176062,1227.0299177729223
4754460,2,1,True,True,49,77,15,1,9,3,29,826.835922540007,39.953931866169846,1.3072590540221025,0.002230309270061635,320914152.64929694,0.04807740649029409,0.6277174217784413,826.8353630106744,821.3278062813624,832.3624051049992,0.0005123848975764797,0.00012304860229711562,3243.404584679796,3243.606196996724,3238.3813161471458,3245.6491326599025,3245.2208406068867,3310.821708915123,3230.9753684829516,3228.069676750669,3219.737491851879,3227.0053083646358,3214.1478001147757,3285.963276521434
8505215,1,0,True,True,67,59,19,3,1,3,0,140.0620196733336,97.74814026863815,0.9333159201764545,0.0017319166658989642,3185411509.5170097,0.03943063384353906,0.8470624262221742,140.04916819244517,134.65892567584524,145.44830661227752,0.00018978053903706438,0.000278885175806329,3734.7583568310806,3734.7740302090465,3737.6262389847375,3758.031908774538,3744.4243236570665,3879.2243394876177,3722.3291406342364,3719.237509962991,3718.9824146894707,3739.388084479271,3713.3512831649555,3854.365907093929
8426957,1,0,True,True,42,42,13,2,8,2,33,784.6786641837953,171.72501055705783,0.993534081873709,0.005200458112755093,1276752305.2810547,0.060644343160665526,1.6349071981200947,784.6859112155078,782.2786641837956,793.61948555657,0.00023014674221354816,5.908856985963557e-05,3548.364377997718,3548.9138123793105,3549.969287072229,3551.1307956492074,3553.4346992446926,3611.6582748856877,3535.9351618008736,3533.377292133255,3531.325462776962,3532.4869713539406,3522.3616587525817,3586.799842491999
8410697,2,0,True,True,53,29,16,1,6,0,20,542.1706497769144,173.6534947340476,1.9729944431495967,0.005251843762970538,1204885831.327599,0.07166578010674196,0.8412852616704458,542.123734069728,539.4706497769148,551.4449104445594,0.0002849828140110344,5.9609277121890964e-05,3395.1162813534656,3393.6460854308834,3398.9998769801205,3491.629506131452,3381.7432200879966,3623.967018335936,3382.6870651566214,3378.109565184828,3380.3560526848537,3472.9856818361854,3350.6701795958857,3599.108585942247
8410697,2,1,True,True,1,29,2,1,17,3,76,1589.9834403100615,133.82236781567715,1.9269607402828448,0.005265206403074858,1266231218.2595177,0.07373725793275437,0.8320246836327037,1589.9570345455413,1586.8334403100598,1591.002056865771,0.00023275057779798686,0.00015446113814393013,1291.2932405159165,1291.061586277609,1296.8954497701911,1370.7256358330037,1286.5113505526901,1430.8055314646222,1280.7167064545274,1277.8409187008726,1281.0306486781076,1354.8608347409202,1260.0700153992175,1409.652463341844
