##
## Kepler Eclipsing Binary Catalog
## Revision Date (Y/M/D): March 30, 2015, 4:41 p.m.
## Download Date (Y/M/D): 
##
## Query String: 
##
#KIC,period,bjd0,morph,T2/T1,rho1+rho2,q,e_sin_omega,e_cos_omega,FF,sin_i,SC,
10417986,0.0737309,55000.027853,0.98,-999,-999,-999,-999,-999,-999,-999,True,
8912468,0.0948380,54953.576945,0.98,-999,-999,-999,-999,-999,-999,-999,False,
8758716,0.1072049,54953.673285,1.00,-999,-999,-999,-999,-999,-999,-999,False,
10855535,0.1127824,54964.631452,0.99,-999,-999,-999,-999,-999,-999,-999,False,
9472174,0.1257653,54953.643547,0.78,-999,-999,-999,-999,-999,-999,-999,True,
9612468,0.1334715,54953.604225,1.00,-999,-999,-999,-999,-999,-999,-999,False,
8912730,0.1508948,54999.986727,0.82,-999,-999,-999,-999,-999,-999,-999,False,
9898401,0.1527742,54964.734514,0.99,-999,-999,-999,-999,-999,-999,-999,False,
7375612,0.1600729,54953.638704,0.98,-999,-999,-999,-999,-999,-999,-999,False,
5872696,0.1726132,54953.801499,0.99,-999,-999,-999,-999,-999,-999,-999,False,
12350008,0.1845296,55002.016287,0.67,-999,-999,-999,-999,-999,-999,-999,False,
10684673,0.1925563,55026.599104,1.00,-999,-999,-999,-999,-999,-999,-999,True,
9532219,0.1981551,55001.945386,0.74,-999,-999,-999,-999,-999,-999,-999,False,
6699679,0.2012033,54953.613407,1.00,-999,-999,-999,-999,-999,-999,-999,False,
6287172,0.2038732,54953.651911,0.95,-999,-999,-999,-999,-999,-999,-999,False,
11825204,0.2096356,54964.746093,0.98,-999,-999,-999,-999,-999,-999,-999,False,
4921906,0.2137324,54964.620128,0.96,-999,-999,-999,-999,-999,-999,-999,False,
6387887,0.2169003,54999.969424,0.56,-999,-999,-999,-999,-999,-999,-999,False,
8288741,0.2197664,55000.119225,0.61,-999,-999,-999,-999,-999,-999,-999,False,
12055255,0.2209394,54964.524971,0.90,-999,-999,-999,-999,-999,-999,-999,False,
8108785,0.2288269,54964.640700,0.73,-999,-999,-999,-999,-999,-999,-999,False,
1572353,0.2289313,54964.675883,0.92,-999,-999,-999,-999,-999,-999,-999,False,
10288502,0.2301847,54964.678878,0.97,-999,-999,-999,-999,-999,-999,-999,False,
9238207,0.2313530,55001.966607,0.74,-999,-999,-999,-999,-999,-999,-999,False,
5166136,0.2339477,54964.809081,0.82,-999,-999,-999,-999,-999,-999,-999,False,
8555795,0.2345234,55000.100572,0.60,-999,-999,-999,-999,-999,-999,-999,False,
6144827,0.2346497,54964.644240,0.79,-999,-999,-999,-999,-999,-999,-999,False,
10030943,0.2357801,54953.677006,1.00,-999,-999,-999,-999,-999,-999,-999,True,
10965091,0.2358555,54964.696956,0.74,-999,-999,-999,-999,-999,-999,-999,False,
2715417,0.2364399,54964.666158,0.76,-999,-999,-999,-999,-999,-999,-999,False,
11413213,0.2374665,55002.095091,0.87,-999,-999,-999,-999,-999,-999,-999,False,
9077796,0.2380804,54964.645249,0.69,-999,-999,-999,-999,-999,-999,-999,False,
6050116,0.2399081,54964.708006,0.77,-999,-999,-999,-999,-999,-999,-999,False,
6350020,0.2417928,54964.614171,0.72,-999,-999,-999,-999,-999,-999,-999,False,
7198474,0.2423046,55000.070149,0.74,-999,-999,-999,-999,-999,-999,-999,False,
7546791,0.2423615,54964.605160,0.94,-999,-999,-999,-999,-999,-999,-999,False,
7871200,0.2429038,54953.677320,0.73,-999,-999,-999,-999,-999,-999,-999,False,
7959612,0.2432138,55000.096253,0.79,-999,-999,-999,-999,-999,-999,-999,False,
3972629,0.2442402,54964.813965,0.84,-999,-999,-999,-999,-999,-999,-999,False,
9345163,0.2451223,54964.757218,0.76,-999,-999,-999,-999,-999,-999,-999,False,
8816790,0.2458562,55001.999460,0.77,-999,-999,-999,-999,-999,-999,-999,False,
12216817,0.2462731,55002.067959,1.00,-999,-999,-999,-999,-999,-999,-999,True,
11494583,0.2483419,54964.685201,0.94,-999,-999,-999,-999,-999,-999,-999,False,
4738426,0.2488352,54964.662098,0.96,-999,-999,-999,-999,-999,-999,-999,False,
8122124,0.2492776,54964.615506,1.00,-999,-999,-999,-999,-999,-999,-999,False,
9032671,0.2496079,54953.798542,0.69,-999,-999,-999,-999,-999,-999,-999,False,
5960283,0.2496681,55110.103244,0.95,-999,-999,-999,-999,-999,-999,-999,False,
9412114,0.2502522,55001.893873,0.85,-999,-999,-999,-999,-999,-999,-999,False,
9004380,0.2503325,54964.604049,0.98,-999,-999,-999,-999,-999,-999,-999,False,
4857282,0.2507526,54904.266931,0.74,-999,-999,-999,-999,-999,-999,-999,False,
12602985,0.2508689,55002.090625,0.88,-999,-999,-999,-999,-999,-999,-999,False,
11336707,0.2512982,54964.641035,0.91,-999,-999,-999,-999,-999,-999,-999,False,
12104285,0.2514509,54964.715703,0.86,-999,-999,-999,-999,-999,-999,-999,False,
11769739,0.2524728,54964.659849,0.75,-999,-999,-999,-999,-999,-999,-999,False,
4138301,0.2533791,54964.685221,0.90,-999,-999,-999,-999,-999,-999,-999,False,
9478836,0.2540637,55002.132513,0.69,-999,-999,-999,-999,-999,-999,-999,False,
12508348,0.2556064,54951.666293,0.97,-999,-999,-999,-999,-999,-999,-999,False,
6871716,0.2556596,54964.721479,0.76,-999,-999,-999,-999,-999,-999,-999,False,
5685072,0.2559051,54964.626512,0.71,-999,-999,-999,-999,-999,-999,-999,False,
3839964,0.2561499,54964.791432,0.78,-999,-999,-999,-999,-999,-999,-999,False,
12598713,0.2571790,54953.677757,0.96,-999,-999,-999,-999,-999,-999,-999,False,
9700154,0.2572534,54964.793571,0.79,-999,-999,-999,-999,-999,-999,-999,False,
9662581,0.2580109,55002.116224,0.77,-999,-999,-999,-999,-999,-999,-999,False,
9777987,0.2585001,55000.072578,0.74,-999,-999,-999,-999,-999,-999,-999,False,
2856960,0.2585073,54964.658805,0.60,-999,-999,-999,-999,-999,-999,-999,True,
5611561,0.2586947,55000.009420,0.74,-999,-999,-999,-999,-999,-999,-999,False,
7339345,0.2596643,54964.777720,0.74,-999,-999,-999,-999,-999,-999,-999,False,
9288175,0.2609349,54964.746318,0.98,-999,-999,-999,-999,-999,-999,-999,False,
9392331,0.2617622,55000.339626,0.75,-999,-999,-999,-999,-999,-999,-999,False,
9239684,0.2618159,54964.791176,1.00,-999,-999,-999,-999,-999,-999,-999,False,
12004834,0.2623168,55002.041000,0.59,-999,-999,-999,-999,-999,-999,-999,True,
11284547,0.2624405,54964.538388,0.96,-999,-999,-999,-999,-999,-999,-999,False,
8045121,0.2631774,54953.761839,1.00,-999,-999,-999,-999,-999,-999,-999,False,
6106771,0.2638263,54964.616674,0.76,-999,-999,-999,-999,-999,-999,-999,False,
10557008,0.2654186,54964.640892,0.77,-999,-999,-999,-999,-999,-999,-999,False,
5785551,0.2666875,55002.019280,0.73,-999,-999,-999,-999,-999,-999,-999,False,
9388303,0.2667035,55002.002225,0.76,-999,-999,-999,-999,-999,-999,-999,False,
5773205,0.2668707,55000.123267,0.62,-999,-999,-999,-999,-999,-999,-999,False,
2437038,0.2676785,54964.981170,0.86,-999,-999,-999,-999,-999,-999,-999,False,
7269843,0.2682156,54964.567796,0.79,-999,-999,-999,-999,-999,-999,-999,False,
6072578,0.2696718,54862.142079,0.76,-999,-999,-999,-999,-999,-999,-999,False,
2435971,0.2718280,54964.815967,0.94,-999,-999,-999,-999,-999,-999,-999,False,
