##
## Kepler Eclipsing Binary Catalog
## Revision Date (Y/M/D): June 28, 2016, 4:08 p.m.
## Download Date (Y/M/D): 2016/06/29
##
## Query String: {&quot;sort&quot;:&quot;p&quot;,&quot;kics&quot;:[],&quot;campaign&quot;:[&quot;-2&quot;],&quot;etvlong&quot;:true,&quot;cols&quot;:[&quot;etv&quot;,&quot;glon&quot;,&quot;scdata&quot;,&quot;bjd0&quot;,&quot;morph&quot;,&quot;glat&quot;,&quot;kic&quot;,&quot;lcdata&quot;,&quot;keff&quot;,&quot;p&quot;,&quot;figs&quot;,&quot;bjd0err&quot;,&quot;perr&quot;,&quot;kmag&quot;],&quot;etvshort&quot;:true,&quot;incat1&quot;:true,&quot;incat0&quot;:true,&quot;kois&quot;:[]}
##
#KIC,period,period_err,bjd0,bjd0_err,morph,GLon,GLat,kmag,Teff,SC,ETV,
11246364,-200,-1,55004.241410,-1,-1.00,81.2034,13.9766,14.1330,5722.0000,False,short,
4384675,-200,-1,55091.343700,-1,-1.00,73.6331,7.5430,14.7070,5705.0000,False,short,
9880337,-100,-1,54997.400000,-1,-1.00,77.2856,17.0134,13.4890,-1.0000,False,short,
3644523,-99,-1,54901,-1,-1.00,71.2132,10.6821,15.9330,5819.0000,True,short,
12365184,-69.8050540,-1,55002.020000,-1,-1.00,83.9345,13.5324,13.0050,6498.0000,True,short,
8046659,-31.5685680,-1,55002.020000,-1,-1.00,78.0059,8.9034,15.0420,5620.0000,False,short,
10919121,-1,-1,-1,-1,-1.00,80.0985,14.6553,13.1150,-1.0000,False,short,
8410818,0,-1,55002.020000,-1,-1.00,73.9218,19.0360,10.1830,4943.0000,False,short,
12643589,0,-1,55044.540085,-1,-1.00,82.5739,17.7886,13.7540,6503.0000,False,short,
6525185,0.0058000,-1,54849.354745,-1,-1.00,74.6318,11.0385,15.8620,5576.0000,False,short,
8126558,0.0070100,-1,55060.895176,-1,-1.00,79.1068,7.2456,15.3640,5331.0000,False,short,
9635510,0.0072500,0.0000000,55005.168875,0.000011,-1.00,76.4261,18.0832,15.3470,5889.0000,False,short,
6525193,0.0136300,0.0000000,54849.354745,0.000165,-1.00,74.5938,11.0183,15.7950,5618.0000,False,short,
12061969,0.0140600,-1,54984.677006,-1,-1.00,82.3231,15.4159,15.7530,4921.0000,True,short,
4951249,0.0141000,-1,54989.449356,-1,-1.00,75.0060,6.3958,15.1460,6089.0000,False,short,
10232693,0.0142400,-1,55010.464025,-1,-1.00,81.7834,9.0852,13.4050,5717.0000,False,short,
10679583,0.0150800,-1,55009.487944,-1,-1.00,81.4853,11.1568,15.4130,5222.0000,False,short,
2576197,0.0153100,0.0000000,55004.695650,-1,0.90,70.4701,9.9890,14.6130,6267.0000,False,short,
12061096,0.0153500,0.0000000,54984.677006,0.001510,-1.00,82.1754,15.7161,15.6120,5659.0000,False,short,
11465950,0.0158400,0.0000000,55007.218640,0.001032,-1.00,82.6910,11.9447,15.8690,5462.0000,False,short,
9156585,0.0171200,-1,55002.020000,-1,-1.00,77.9290,12.7044,15.6120,5411.0000,False,short,
8081187,0.0182500,-1,55059.791416,-1,-1.00,74.0137,17.3424,13.5730,6030.0000,False,short,
7542369,0.0188500,-1,54997.901682,-1,-1.00,76.8101,9.6073,14.3320,6089.0000,False,short,
10341905,0.0194900,0.0000000,55010.464025,0.000009,-1.00,79.7079,13.4323,15.2390,5358.0000,False,short,
10861715,0.0207100,-1,55009.487944,-1,-1.00,80.2079,14.2200,15.3090,5749.0000,False,short,
6842682,0.0216800,-1,54852.141821,-1,-1.00,72.3871,16.9074,14.6400,5601.0000,False,short,
3644653,0.0219100,-1,55097.678483,-1,-1.00,71.1957,10.6440,15.9030,5551.0000,False,short,
