kepid koi architecture kepmag t0 depth Teff logg pmin
8505215 99.01 1CS+1F 13.0 140.0473 1874.2 4965 4.555 1450.9538
9970525 154 1F+1S 13.2 139.7277 1500 6504 4.355 1451.2732
11709124 435.02 5C+1CS 14.5 657.2698 8709.6 5937 4.559 933.7415
7040629 671 4C+1S 13.8 786.7641 1000 6220 4.242 804.2469
8738735 693 2C+1S 13.9 697.8591 1000 6332 4.472 893.1428
6191521 847e 1C+2S 15.2 382.9428 5000 5665 4.563 null
6191521 847e 1C+2S 15.2 1489.1858 5000 5665 4.563 null
2162635 1032.01 1CS+2S 13.9 176.0986 4129.9 5009 3.755 1414.9127
2162635 1032 1CS+2S 13.9 992.3180 1500 5009 3.755 860.8054
2162635 1032 1CS+2S 13.9 1351.3427 1750 5009 3.755 1219.8301
3230491 1096.01 1CS 14.7 315.33083 9592.0 5606 4.597 1275.6733
3218908 1108 3C+1S 14.6 766.6855 5000 5513 4.599 824.3164
10460629 1168e 1C+2S 14.0 608.26209 22000 6449 4.232 null
10460629 1168e 1C+2S 14.0 1133.28363 22000 6449 4.232 null
10287723 1174.01 1CS 13.5 393.5944 1474.9 4500 4.572 1197.4066
3962440 1208.01 1CS 13.6 249.4412 3245.9 6487 4.397 1341.5601
11342550 1421.01 1CS 15.3 524.2844 9515.3 5923 4.445 1066.7171
10187159 1870 1C+1S 14.4 604.1071 6000 5185 4.440 986.8949
5942949 2525 1C+1S 15.7 1326.1614 20000 4806 4.564 1179.4970
3241604 2824 1F+1S 15.3 1263.4172 5000 5881 4.516 911.0409
1717722 3145e 2C+1S 15.7 1439.1972 20000 4812 4.607 1269.6764
10284575 3210 1F+1S 11.9 740.72319 6000 7296 4.103 850.27786
8636333 3349e 1C+1S 15.3 271.8903 1500 6247 4.489 1319.1091
6145201 3475 1F+1S 13.0 789.1 1000 6517 4.382 null
3558849 4307e 1C+1S 14.2 279.9881 5000 6175 4.440 1311.0131
4042088 6378 1F+2S 13.4 617.65 17500 6475 4.234 973.34652
4042088 6378 1F+2S 13.4 661.74 4300 6475 4.234 929.2648
9581498 7194 1F+1S 14.2 685.43 1000 5795 4.435 905.5850
