kicid,num_peaks,peak_id,accept_bic,accept_time,channel,skygroup,module,output,quarter,season,chunk,t0,s2n,bkg,depth,depth_ivar,transit_ror,transit_duration,transit_time,transit_depth,transit_impact,chunk_min_time,chunk_max_time,centroid_offset,centroid_offset_err,lnlike_gp,lnlike_outlier,lnlike_box1,lnlike_box2,lnlike_step,lnlike_transit,bic_gp,bic_outlier,bic_box1,bic_box2,bic_step,bic_transit,offset,accept_offset,accept_impact,accept
10097755,1,0,True,False,80,36,23,4,13,3,46,1216.3172426990948,99.23289013726169,3.873432464335668,0.008226063139309101,1020938829.398015,0.05746565065003152,1.355764507090684,1216.3905301679822,0.0035947266378471006,0.6453918448043792,1215.7172426990946,1226.690490498164,0.0004966099987295039,1.166052140721884e-05,3268.7749620542163,2887.240547051464,3269.3978610218574,3281.3506284028385,3269.0078586628965,3284.917815036228,3256.3457458573716,2871.704026805409,3250.75403672659,3262.706804107572,3237.934818170785,3263.1666866917503,0.13765297653754355,True,True,False
10064130,1,0,False,True,23,23,8,3,12,2,54,1173.7617622226687,286.610540268499,9.491130653654787,0.005331937345805183,3026961921.724798,0.019200054587401982,0.9534743806046756,1173.9569719323035,0.00042417591002930083,0.5583116107036634,1165.2865360570356,1176.4230884516292,8.482155893455824e-05,4.6957693293399684e-05,,,3741.060640834911,,,3743.7107937293135,,,3722.416816539645,,,3721.9596653848357,0.19988306188050692,True,True,False
10033959,1,0,False,False,52,36,15,4,2,0,4,184.32138642157366,159.39213818574723,6.3414594548375725,0.006897905581926707,3746034911.790788,0.03241364648149301,0.6,183.74639504946492,0.0013743979157146982,0.0004869198667043813,183.72138642157367,195.14405283818638,0.001288425763358722,0.00018342235867327658,,,3297.6540838985384,,,3300.4418916534314,,,3279.010259603272,,,3278.690763308953,0.9361589820266408,False,True,False
10083970,1,0,False,True,47,39,14,3,14,0,64,1317.2801032411232,51.629414907665996,2.0452583906926227,0.0016589000218295705,968621304.7015752,0.013349727258208195,1.9953926804659157,1317.0672296205032,0.00021483164722702064,0.458289226232225,1311.9424817711188,1322.6089620487764,5.142279527714118e-05,0.00019650538743979962,3556.351630168176,,3553.522478682064,,3555.653527004564,3557.228300309061,3543.922413971332,,3534.8786543867973,,3524.5804865124524,3535.4771719645837,0.23931179924807847,True,True,False
10153212,1,0,False,True,78,34,23,2,13,3,47,1251.7081720653414,39.519970615313184,1.4717419273038954,0.0017458673873397945,512669661.4808053,0.002778493807202932,0.8277715610552038,1251.5645812362395,9.376037523156633e-06,0.4389186578118455,1246.3690320090827,1257.0357837499832,3.853725959440757e-05,7.014055786496719e-06,,,3398.8649115661738,,,3398.210623029787,,,3380.2210872709074,,,3376.459494685309,4.110147615390659,False,True,False
10397567,1,0,False,False,24,24,8,4,16,2,75,1557.3436576320307,150.01811762864045,4.852344117130052,0.002344459108049196,10567691721.724892,0.0002970953967153757,0.6002429937480254,1558.0348447772517,1.1548597989019528e-07,0.0,1546.8023533214218,1557.9593672474805,0.00012275344920483072,4.422791615610306e-05,,,4111.250844724392,,,4110.775652513275,,,4092.6070204291245,,,4089.0245241687976,1062.9293282634221,False,True,False
10321319,1,0,True,True,73,9,22,1,6,0,20,554.3203340091997,28.485282297831283,1.051041995143517,0.00034553248810402363,6796155133.039807,0.02013599313878742,0.7169565901666924,554.3514048823802,0.00038983462378805456,0.7803800236580708,548.3999506191685,560.2311194175782,0.0001263260799308444,2.7558668462700574e-05,3991.1267641610307,3990.929263304648,4008.630425132311,3998.5794458940663,4007.3277079026534,4037.008821143652,3978.697547964187,3975.392743058593,3989.9866008370454,3979.9356215987987,3976.2546674105424,4015.257692799174,0.3239241102392541,True,True,True
10398397,1,0,False,True,40,24,12,4,9,3,34,871.5746634460655,31.37596141303288,1.223364049713877,0.0007789736028719602,1721826896.0708244,0.008177231944856492,1.0936079495122102,871.9490261041917,8.159971979060376e-05,0.4257651203123032,863.4842695611222,874.0896837760083,5.958499048269202e-05,4.7544505898960437e-05,3670.645667958067,,3667.682025320411,,3670.5715974068653,3670.964749892919,3658.216451761223,,3649.038201025145,,3639.498556914754,3649.213621548441,0.7301511392080243,False,True,False
10417662,2,0,False,True,78,34,23,2,5,3,17,497.58695259600916,68.3021221612318,2.7201886264545845,0.0032741803311803603,435225003.1813393,0.017202279882030474,1.5850768780874087,497.54538084964133,0.00037231872622545126,0.32471642357643943,492.2666233802156,502.8925048591336,0.0004531104376451991,0.00011537494656874836,,,3340.7474723525843,,,3343.558856288305,,,3322.103648057317,,,3321.807727943827,1.2165429892181798,False,True,False
10417662,2,1,False,True,78,34,23,2,5,3,18,511.05899344560953,55.663720073149186,2.0668473791534403,0.002703391400615877,424043173.7393147,0.013733291669878371,1.8659434715879568,511.2427795906949,0.00024204588463661025,0.2308285228994749,505.8146221397328,516.3178912417062,0.00013514252486694132,8.430854644868377e-05,,,3325.6838924645185,,,3326.923682486368,,,3307.0400681692518,,,3305.1725541418896,0.5581991793737858,False,True,False
